"Section,Question,A,B,C,D,Correct"
"A,Who is the current President of Nigeria?,Bola Tinubu,Muhammadu Buhari,Goodluck Jonathan,Yemi Osinbajo,A"
"A,In what year did Nigeria gain independence?,1956,1960,1963,1970,B"
"A,What is the capital city of Nigeria?,Lagos,Abuja,Kano,Port Harcourt,B"
"A,How many states are there in Nigeria?,30,32,36,37,C"
"A,Who composed the Nigerian national anthem?,Ben Odiase,Wole Soyinka,Chinua Achebe,Fela Kuti,A"
"A,What are the colors of the Nigerian flag?,Green and Yellow,Green and White,Red and White,Green and Blue,B"
"A,Who was Nigeria's first Prime Minister?,Nnamdi Azikiwe,Abubakar Tafawa Balewa,Obafemi Awolowo,Ahmadu Bello,B"
"A,When did Nigeria become a republic?,1959,1963,1966,1979,B"
"A,What is Nigeria's major source of revenue?,Tourism,Agriculture,Oil,Manufacturing,C"
"A,Which river is the longest in Nigeria?,River Benue,River Niger,River Ogun,River Kaduna,B"
"A,Who was the first military Head of State in Nigeria?,Yakubu Gowon,Aguiyi Ironsi,Murtala Mohammed,Olusegun Obasanjo,B"
"A,Which country shares the longest border with Nigeria?,Ghana,Niger Republic,Cameroon,Chad,B"
"A,What is the currency of Nigeria?,Naira,Dollar,Cedi,Pound,A"
"A,Which Nigerian city is known as the Coal City?,Ibadan,Enugu,Kaduna,Kano,B"
"A,Which Nigerian state is called the “Centre of Excellence”?,Kano,Lagos,Ogun,Oyo,B"
"A,What is the name of Nigeria’s upper legislative chamber?,House of Representatives,Senate,National Assembly,House of Lords,B"
"A,How many geopolitical zones are in Nigeria?,4,5,6,7,C"
"A,Who was the first civilian president of the Fourth Republic?,Olusegun Obasanjo,Umaru Musa Yar’Adua,Goodluck Jonathan,Muhammadu Buhari,A"
"A,Which Nigerian leader was assassinated in 1976?,Aguiyi Ironsi,Murtala Mohammed,Abacha,Balewa,B"
"A,What year was the Nigerian civil war fought?,1965-1967,1967-1970,1971-1973,1980-1982,B"
"A,What is the motto of Nigeria?,Unity and Faith,Faith, Peace and Progress,Peace, Unity and Progress,Unity and Faith, Peace and Progress,D"
"A,Which Nigerian city is known for tin mining?,Jos,Kaduna,Ibadan,Kano,A"
"A,Who was the first female Speaker of the House of Representatives?,Patricia Etteh,Stella Oduah,Okonjo Iweala,Dora Akunyili,A"
"A,Which Nigerian organization conducts elections?,EFCC,INEC,NDLEA,NEMA,B"
"A,Which Nigerian university is the oldest?,UNILAG,UI,ABU,OAU,B"
"A,When was the Nigerian Naira introduced?,1959,1963,1973,1980,C"
"A,Which sea lies to the south of Nigeria?,Indian Ocean,Red Sea,Atlantic Ocean,Mediterranean Sea,C"
"A,Who is regarded as the father of Nigerian nationalism?,Obafemi Awolowo,Nnamdi Azikiwe,Ahmadu Bello,Herbert Macaulay,D"
"A,Which Nigerian state is famous for groundnut production?,Kano,Lagos,Benue,Ebonyi,A"
"A,What is the official language of Nigeria?,English,Hausa,Yoruba,Igbo,A"
